p cnf 20 100
-17 9 18 0
-10 13 12 0
2 -18 -9 0
11 -18 -15 0
-9 3 -6 0
-8 15 -12 0
-8 -18 16 0
5 -12 7 0
-1 6 7 0
16 12 -10 0
-20 -8 11 0
6 17 8 0
17 -7 -8 0
11 -16 1 0
-14 -13 -4 0
16 1 -4 0
7 11 1 0
5 18 9 0
8 11 9 0
16 -13 6 0
16 -1 18 0
3 -6 19 0
-5 -20 -11 0
2 4 -10 0
4 11 3 0
12 -4 -20 0
-5 15 -8 0
9 15 3 0
19 20 -3 0
7 5 -11 0
12 -1 -4 0
-1 -9 3 0
-20 14 -4 0
-17 1 -6 0
10 -7 -3 0
19 -8 -11 0
8 -12 5 0
-8 1 7 0
-6 -11 8 0
17 -5 -19 0
11 14 -19 0
10 1 16 0
9 19 5 0
7 17 -3 0
-3 -12 -13 0
5 8 -20 0
13 -19 -6 0
14 -12 9 0
-8 -3 -13 0
-5 -1 17 0
18 -2 7 0
-19 10 14 0
-12 10 20 0
1 -10 -9 0
-20 -3 13 0
-4 10 2 0
-17 -14 20 0
10 -6 -18 0
-12 5 -10 0
-15 -8 10 0
-7 2 8 0
4 19 -13 0
-3 -12 11 0
-14 -6 -20 0
6 -16 1 0
8 -19 12 0
-7 8 -13 0
-1 12 9 0
10 11 8 0
-4 18 1 0
10 -3 15 0
14 9 4 0
-15 2 11 0
16 -2 -18 0
3 -6 1 0
11 16 -14 0
-20 -8 3 0
-15 -19 9 0
13 -14 -10 0
-3 11 7 0
4 -10 6 0
3 20 18 0
-18 -19 -13 0
-17 19 -11 0
-19 -1 -10 0
14 12 17 0
15 17 -19 0
-2 -13 18 0
-11 -3 -4 0
-18 -15 1 0
12 13 16 0
11 -1 4 0
-11 -20 -10 0
-1 -12 5 0
14 -19 -6 0
11 20 -19 0
-10 -6 -14 0
-2 8 19 0
-7 16 -17 0
4 17 -19 0
